id,name,description,price,views,status,category,city,user
1,Машина,Продаю автомобиль,5000,100,active,40,20,10
2,Квартира,Сдам квартиру на длительный срок,800,50,active,39,19,9
3,Книга,Продаю книгу по программированию,30,20,draft,38,18,8
4,Компьютер,Новый компьютер за полцены,1000,150,active,37,17,7
5,Велосипед,Продаю велосипед для детей,200,80,draft,36,16,6
6,Телефон,Продаю iPhone X,400,70,active,35,15,5
7,Мебель,Продаю диван,300,40,draft,34,14,4
8,Электроника,Продаю фотоаппарат,600,90,active,33,13,3
9,Спортивные товары,Продаю беговую дорожку,700,120,draft,32,12,2
10,Игрушки,Продаю конструктор Лего,50,60,active,31,11,1
11,Одежда,Продаю куртку зимнюю,150,30,draft,30,10,40
12,Аксессуары,Продаю часы Apple Watch,300,45,active,29,9,39
13,Инструменты,Продаю электродрель,80,25,draft,28,8,38
14,Техника,Продаю холодильник,400,110,active,27,7,37
15,Домашние животные,Продаю котенка,50,55,draft,26,6,36
16,Растения,Продаю комнатное растение,20,10,active,25,5,35
17,Строительные материалы,Продаю кирпичи,100,35,draft,24,4,34
18,Ремонт и строительство,Продаю лестницу,200,75,active,23,3,33
19,Бизнес и услуги,Продаю услуги по ремонту автомобилей,500,130,draft,22,2,32
20,Образование,Продаю курсы по английскому языку,300,65,active,21,1,31
21,Отдых и развлечения,Продаю билеты в театр,100,50,draft,20,20,30
22,Знакомства,Продаю агентство по знакомствам,700,95,active,19,20,29
23,Музыка и искусство,Продаю картину,200,40,draft,18,20,28
24,Транспорт и перевозки,Продаю услуги грузоперевозок,600,85,active,17,20,27
25,Работа,Продаю вакансии,1000,160,draft,16,20,26
26,Услуги,Продаю услуги маникюра,50,45,active,15,20,25
27,Недвижимость,Продаю земельный участок,800,70,draft,14,20,24
28,Товары для детей и младенцев,Продаю коляску,300,55,active,13,20,23
29,Машины,Продаю планшет,400,80,draft,12,20,22
30,Спорт,Продаю абонемент в тренажерный зал,200,35,active,11,20,21
31,Книги,Продаю энциклопедию,150,60,draft,10,20,20
32,Шубы,Продаю платье,100,25,active,9,20,19
33,Техника для дома,Продаю пылесос,300,40,draft,8,20,18
34,Ремонт,Продаю плитку,400,75,active,7,20,17
35,Обучение и курсы,Продаю курс по программированию,500,90,draft,6,20,16
36,Бытовая техника,Продаю стиральную машину,600,110,active,5,20,15
37,Автоуслуги,Продаю услуги автосервиса,700,120,active,4,20,14
38,Игры и игрушки,Продаю настольную игру,50,30,draft,3,20,13
39,Красота и здоровье,Продаю косметику,100,50,active,2,20,12
40,Спорт и отдых,Продаю велосипед,300,60,draft,1,20,11
